分册,模板文件,位置,类型,上下文,目标字段,置信度,来源
二、过程分册,8、设备安装调试记录表.docx,表1行4-19,子表数据区,动态数据区（行数按实际增删）,testItemList,高,特殊位置
二、过程分册,8、设备安装调试记录表.docx,表1行1列2,空单元格,地    点 |  | 日    期 | ,buildSite,高,实况核对
二、过程分册,8、设备安装调试记录表.docx,表1行1列4,手填·日期,地    点 |  | 日    期 | ,@manualDate,高,实况核对
二、过程分册,8、设备安装调试记录表.docx,表1行2列2,手填·留白,实施人员 |  | 监理人员 | ,@manualFill,工头定,实况核对
二、过程分册,8、设备安装调试记录表.docx,表1行2列4,手填·留白,实施人员 |  | 监理人员 | ,@manualFill,工头定,实况核对
二、过程分册,10、施工日志.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,10、施工日志.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,10、施工日志.docx,表1行1列2,空单元格,施工单位 |  | 日    期 | ,constructionUnit,高,实况核对
二、过程分册,10、施工日志.docx,表1行1列4,手填·日期,施工单位 |  | 日    期 | ,@manualDate,高,实况核对
二、过程分册,10、施工日志.docx,表1行2列2,空单元格,天气信息 | ,weather,高,实况核对
二、过程分册,10、施工日志.docx,表1行3列2,空单元格,施工地点 | ,buildSite,高,实况核对
二、过程分册,10、施工日志.docx,表1行4列1,填充位,今日完成工作：{{todayWork}},todayWork,高,新增（实况补录）
二、过程分册,10、施工日志.docx,表1行6列1,填充位,其它情况说明：当天施工人数：{{workerCount}}个。现场问题：{{siteIssue}}需协调事项：{{coo,coordination|siteIssue|workerCount,高,新增（实况补录）
二、过程分册,11、项目周报.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,11、项目周报.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,11、项目周报.docx,表1行1列2,空单元格,承建单位 |  | 日  期 | ,constructionUnit,高,实况核对
二、过程分册,11、项目周报.docx,表1行1列4,手填·日期,承建单位 |  | 日  期 | ,@manualDate,高,实况核对
二、过程分册,11、项目周报.docx,表1行2列2,空单元格,项目阶段 | ,projectStage,高,实况核对
二、过程分册,11、项目周报.docx,表1行3列2,空单元格,上周已完成工作 | ,weeklyDone,高,实况核对
二、过程分册,11、项目周报.docx,表1行4列2,空单元格,上周未完成工作及原因 | ,weeklyUndone,高,实况核对
二、过程分册,11、项目周报.docx,表1行5列2,空单元格,上周工作存在的问题及分析 | ,weeklyProblem,高,实况核对
二、过程分册,11、项目周报.docx,表1行6列2,空单元格,本周工作计划 | ,weeklyPlan,高,实况核对
二、过程分册,12、项目月报.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
二、过程分册,12、项目月报.docx,段3,标签留空,文档编号：,docNo,高,实况核对
二、过程分册,12、项目月报.docx,表1行1列2,空单元格,承建单位 |  | 日  期 | ,constructionUnit,高,实况核对
二、过程分册,12、项目月报.docx,表1行1列4,手填·日期,承建单位 |  | 日  期 | ,@manualDate,高,实况核对
二、过程分册,12、项目月报.docx,表1行2列2,空单元格,项目阶段 | ,projectStage,高,实况核对
二、过程分册,12、项目月报.docx,表1行3列2,空单元格,上月已完成工作 | ,monthlyDone,高,实况核对
二、过程分册,12、项目月报.docx,表1行4列2,空单元格,上月未完成工作及原因 | ,monthlyUndone,高,实况核对
二、过程分册,12、项目月报.docx,表1行5列2,空单元格,上月工作存在的问题及分析 | ,monthlyProblem,高,实况核对
二、过程分册,12、项目月报.docx,表1行6列2,空单元格,本月工作计划 | ,monthlyPlan,高,实况核对
五、初步验收分册（政务信息化项目）,1、试运行申请表.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
五、初步验收分册（政务信息化项目）,1、试运行申请表.docx,段3,标签留空,文档编号：,docNo,高,实况核对
五、初步验收分册（政务信息化项目）,1、试运行申请表.docx,表1行1列1,填充位,致：{{ownerUnit}}{{supervisionUnit}}（建设单位、监理单位）我单位已按要求完成了{{pro,ownerUnit|projectName|supervisionUnit,高,新增（实况补录）
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,段2,占位文本,工程名称：×××工程,projectName,中,实况核对
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,段3,标签留空,文档编号：,docNo,高,实况核对
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,表1行4-26,子表数据区,动态数据区（行数按实际增删）,trialRunList,高,特殊位置
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,表1行1列2,空单元格,建设单位 |  | 监理单位 | ,ownerUnit,高,实况核对
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,表1行1列4,空单元格,建设单位 |  | 监理单位 | ,supervisionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,表1行2列2,空单元格,承建单位 |  | 建设地点 | ,constructionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,6、试运行记录.docx,表1行2列4,空单元格,承建单位 |  | 建设地点 | ,buildSite,高,实况核对
五、初步验收分册（政务信息化项目）,7、试运行评价意见.docx,段3,空白占位,项目（方案审核文号:        ）自   年  月  日投入试运行以来，经过    人员使用，已处理    笔业务，,approvalDocNo|projectName|trialRunBusinessCount|trialRunUserCount,中,实况校正
五、初步验收分册（政务信息化项目）,7、试运行评价意见.docx,段15,手填·日期,年    月    日,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行1列2,空单元格,项目名称 |  | 方案审核（备案）编号 | ,projectName,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行1列4,空单元格,项目名称 |  | 方案审核（备案）编号 | ,approvalDocNo,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行2列2,手填·日期,开工日期 |  | 完工日期 | ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行2列4,手填·日期,开工日期 |  | 完工日期 | ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行3列2,空单元格,承建单位 |  | 项目负责人 |  | 联系电话 | ,constructionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行3列4,空单元格,承建单位 |  | 项目负责人 |  | 联系电话 | ,projectManager,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行3列6,空单元格,承建单位 |  | 项目负责人 |  | 联系电话 | ,constructionPhone,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行4列2,空单元格,监理单位 |  | 项目总监 |  | 联系电话 | ,supervisionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行4列4,空单元格,监理单位 |  | 项目总监 |  | 联系电话 | ,chiefSupervisor,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行4列6,空单元格,监理单位 |  | 项目总监 |  | 联系电话 | ,supervisionPhone,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行5列1,占位文本,我单位承建的XXX项目完成的主要内容如下：1、XXX 2、XXX。。。经认真自检，已具备初步验收条件，并做好了初步验收的,projectContent|projectName,中,实况校正
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行6列1,手填·正文,监理单位意见：                                  监理单位签章：日期：    年   月,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,8、初步验收申请表.docx,表1行7列1,手填·正文,建设单位意见：                                                     ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行1列2,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,projectName,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行1列4,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,approvalDocNo,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行3列2,手填·日期,开工日期 |  | 完工日期 | ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行3列4,手填·日期,开工日期 |  | 完工日期 | ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行4列2,空单元格,建设单位 | ,ownerUnit,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行5列2,空单元格,承建单位 | ,constructionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行6列2,空单元格,监理单位 | ,supervisionUnit,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行10列2,段落模板,简述监理实施过程，对项目建设完成情况进行简评，并对项目是否符合初验要求提出结论性意见。           监理单位签章,@manualDate,中,实况校正
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行11列2,手填·正文,是/否通过验收。（初验意见书附后（见模板））验收组成员签字：                              ,@manualDate,高,实况核对
五、初步验收分册（政务信息化项目）,9、初步验收意见.docx,表1行12列2,段落模板,对项目初验是否同意初验专家组验收结论提出结论性意见。建设单位签章：                           ,@manualDate,中,实况校正
六、竣工验收报告,1、封面.docx,段3,前缀插入,项目,projectName,中,实况核对
六、竣工验收报告,1、封面.docx,段14,标签留空,建设单位：,ownerUnit,高,实况核对
六、竣工验收报告,1、封面.docx,段15,标签留空,监理单位：,supervisionUnit,高,实况核对
六、竣工验收报告,1、封面.docx,段16,标签留空,承建单位：,constructionUnit,高,实况核对
六、竣工验收报告,1、封面.docx,段17,手填·日期,创建时间：,@manualDate,高,实况核对
六、竣工验收报告,2、目录.docx,整篇,自动生成,目录由系统按分册结构自动生成，无人工填写项,@autoToc,高,特殊位置
六、竣工验收报告,3、基础信息.docx,段7,标签留空,建设内容：,projectContent,高,实况校正
六、竣工验收报告,3、基础信息.docx,表1行1列2,空单元格,项目名称 | ,projectName,高,实况核对
六、竣工验收报告,3、基础信息.docx,表1行2列2,空单元格,合同编号 | ,contractNo,高,实况核对
六、竣工验收报告,3、基础信息.docx,表1行3列2,空单元格,建设单位 | ,ownerUnit,高,实况核对
六、竣工验收报告,3、基础信息.docx,表1行4列2,空单元格,承建单位 | ,constructionUnit,高,实况核对
六、竣工验收报告,4、设备拓扑图.docx,表1行2列2,空单元格,项目名称 |  | 合同编号 | ,projectName,高,实况核对
六、竣工验收报告,4、设备拓扑图.docx,表1行2列4,空单元格,项目名称 |  | 合同编号 | ,contractNo,高,实况核对
六、竣工验收报告,5、培训记录表.docx,段2,上传区,（此内容为上传附件）,@upload,高,实况核对
六、竣工验收报告,6、项目验收申请报告.docx,段4,标签留空,项目名称：,projectName,高,实况核对
六、竣工验收报告,6、项目验收申请报告.docx,段5,填充位,项目编号：{{contractNo}},contractNo,高,新增（实况补录）
六、竣工验收报告,6、项目验收申请报告.docx,表1行1列1,段落模板,致：                （监理单位、建设单位）我方已按合同要求完成了                    ,ownerUnit|projectName|supervisionUnit,中,实况校正
六、竣工验收报告,7、验收结论.docx,段2,空白占位,经现场测试和文档审查表明                项目（合同编号：        ）项目已经达到项目预期目标，验收,contractNo|projectName,中,实况校正
六、竣工验收报告,8、质保期承诺书.docx,整篇,固定文本,正文为固定承诺文案，无需填写,@fixedText,高,特殊位置
六、竣工验收报告,9、文档移交表.docx,表1行3-12,子表数据区,动态数据区（行数按实际增删）,documentList,高,特殊位置
六、竣工验收报告,9、文档移交表.docx,表1行1列2,空单元格,接收单位 |  | 移交时间 | ,ownerUnit,定稿,实况核对
六、竣工验收报告,9、文档移交表.docx,表1行1列4,手填·日期,接收单位 |  | 移交时间 | ,@manualDate,高,实况核对
六、竣工验收报告,9、文档移交表.docx,表1行2列2,手填·留白,接收人签名 |  | 移交地点 | ,@manualFill,工头定,实况核对
六、竣工验收报告,9、文档移交表.docx,表1行2列4,空单元格,接收人签名 |  | 移交地点 | ,handoverPlace,高,实况核对
六、竣工验收报告,10、设备移交表.docx,段2,上传区,（上传设备签收表）,@upload,高,实况核对
七、竣工验收分册（政务信息化项目）,1、项目情况简介.docx,段4,占位文本,XXX项目情况简介,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,1、项目情况简介.docx,段10,填充位,{{projectGoal}},projectGoal,高,新增（实况补录）
七、竣工验收分册（政务信息化项目）,1、项目情况简介.docx,段12,填充位,{{projectContent}},projectContent,高,新增（实况补录）
七、竣工验收分册（政务信息化项目）,1、项目情况简介.docx,段14,填充位,{{buildSite}},buildSite,高,新增（实况补录）
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,段2,占位文本,一、XXX项目硬件配置清单,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,段3,占位文本,二、XXX项目软件配置清单,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表1行4-26,子表数据区,动态数据区（行数按实际增删）,deviceList,高,特殊位置
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表2行4-31,子表数据区,动态数据区（行数按实际增删）,softwareList,高,特殊位置
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表1行1列2,空单元格,建设单位（公章） | ,ownerUnit,中,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表1行2列2,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表1行2列4,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,approvalDocNo,高,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表2行1列2,空单元格,建设单位（公章） | ,ownerUnit,中,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表2行2列2,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,2、项目软硬件配置清单及移交清单.docx,表2行2列4,空单元格,项目名称 |  | 方案审核批复（备案）文号 | ,approvalDocNo,高,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段2,占位文本,XX单位,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段3,占位文本,XXX项目数据治理承诺书(模板),projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段6,段落模板,为保障全市数据治理顺利开展，根据《岳阳市市本级政务信息化项目建设管理暂行办法》、《岳阳市政务信息资源管理暂行办法》的相关,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段7,段落模板,因上述问题短期内无法彻底解决，为不影响项目整体验收，我单位承诺，将严格按要求持续推进数据治理工作，并计划于××年××月×,@manualDate,中,实况校正
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段12,占位文本,XX（单位盖章）,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段13,手填·日期,XX年XX月XX日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,3、数据治理承诺书.docx,段14,占位文本,（联系人：XXX；联系电话/手机：XXXXXX）,constructionContact|constructionPhone,高,实况核对
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段1,占位文本,XX（单位名称）,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段2,占位文本,关于申请对XX项目组织竣工验收的函,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段5,段落模板,我单位XX项目经过特许经营权授予或招标于XX年XX月XX日开工建设，项目合同金额XX万元，建设地点在XX（等地），主要建,buildSite|constructionUnit|contractAmount|ownerUnit|projectContent|projectName|supervisionUnit,中,实况校正
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段11,占位文本,XX（单位名称）,constructionUnit,高,实况校正
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段12,手填·日期,XX年XX月XX日,@manualDate,高,实况校正
七、竣工验收分册（政务信息化项目）,6、竣工验收申请函.docx,段13,占位文本,（联系人：XXX；联系电话/手机：XXXXXX）,constructionContact|constructionPhone,高,实况校正
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行1列2,空单元格,项目名称 |  | 方案审核文号 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行1列4,空单元格,项目名称 |  | 方案审核文号 | ,approvalDocNo,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行2列2,空单元格,建设单位 |  | 社会统一信用代码 | ,ownerUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行2列4,空单元格,建设单位 |  | 社会统一信用代码 | ,ownerCreditCode,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行3列2,空单元格,承建单位联系人 |  | 联系电话 | ,constructionContact,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行3列4,空单元格,承建单位联系人 |  | 联系电话 | ,constructionPhone,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行4列2,空单元格,承建单位 |  | 社会统一信用代码 | ,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行4列4,空单元格,承建单位 |  | 社会统一信用代码 | ,constructionCreditCode,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行5列2,空单元格,承建单位联系人 |  | 联系电话 | ,constructionContact,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行5列4,空单元格,承建单位联系人 |  | 联系电话 | ,constructionPhone,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行6列2,空单元格,监理单位 |  | 社会统一信用代码 | ,supervisionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行6列4,空单元格,监理单位 |  | 社会统一信用代码 | ,supervisionCreditCode,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行7列2,空单元格,监理单位联系人 |  | 联系电话 | ,supervisionContact,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行7列4,空单元格,监理单位联系人 |  | 联系电话 | ,supervisionPhone,高,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行9列2,手填·留白,本项目于  年  月  日通过初步验收，验收组提出了  项整改意见，均按专家意见进行整改并经专家组确认。,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行12列2,手填·留白,以上所列情况属实，申请竣工验收。签字盖章：（法定代表人或项目授权委托人）                        ,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行13列2,手填·留白,以上所列情况属实，申请竣工验收。签字盖章：（法定代表人或项目授权委托人）                        ,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行14列2,手填·留白,以上所列情况属实，申请竣工验收。签字盖章：（法定代表人或项目授权委托人）                        ,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,7、竣工验收申请表.docx,表1行15列2,手填·正文,同意按程序办理竣工验收手续。受理人签字：                                受理时间：   ,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,8、竣工验收预审意见表.docx,表1行1列2,空单元格,项目名称 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,8、竣工验收预审意见表.docx,表1行2列2,空单元格,方案审核文号 | ,approvalDocNo,高,实况核对
七、竣工验收分册（政务信息化项目）,8、竣工验收预审意见表.docx,表1行3列2,空单元格,建设单位 | ,ownerUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,8、竣工验收预审意见表.docx,表1行4列2,空单元格,承建单位 | ,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,8、竣工验收预审意见表.docx,表1行5列2,空单元格,监理单位 | ,supervisionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行4-14,子表数据区,动态数据区（行数按实际增删）,expertScoreList,高,特殊位置
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行1列2,空单元格,项目名称 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行2列2,手填·留白,评审专家姓名 |  | 联系电话 | ,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行2列4,手填·留白,评审专家姓名 |  | 联系电话 | ,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行3列2,手填·日期,评审时间 |  | 评审地点 | ,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,9、竣工验收评审意见表（个人）.docx,表1行3列4,空单元格,评审时间 |  | 评审地点 | ,buildSite,高,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段1,占位文本,XX项目验收专家组评审意见（参考模板）,projectName,中,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段4,段落模板,"XX年XX月XX日, 受市行政审批服务局委托，本专家组依据《岳阳市政务信息化项目验收工作实施细则（试行）》的相关标准要求",approvalDocNo|ownerUnit|projectName,中,实况校正
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段7,手填·留白,建议/整改建议:,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段8,手填·留白,1.XXXX；,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段9,手填·留白,2.XXXX；,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段10,手填·留白,3.XXXX等。,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段12,手填·留白,专家组组长：,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段13,手填·留白,专家组成员：,@manualFill,工头定,实况核对
七、竣工验收分册（政务信息化项目）,10、验收专家组评审意见.docx,段14,手填·日期,XX年XX月XX日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行1列2,空单元格,项目名称 | ,projectName,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行2列2,空单元格,建设单位 | ,ownerUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行3列2,填充位,{{projectName}},projectName,高,新增（实况补录）
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行4列2,空单元格,监理单位 | ,supervisionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行5列2,空单元格,承建单位 | ,constructionUnit,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行6列2,手填·日期,年   月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行6列4,手填·日期,年   月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行8列2,填充位,{{projectContent}},projectContent,高,新增（实况补录）
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行9列2,手填·正文,对竣工验收情况进行总结，对是否通过竣工验收作出结论。评审组详细意见参照附件12撰定。验收组专家签字：          ,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行10列2,手填·日期,承建单位签章：日期：      年    月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行11列2,手填·日期,监理单位签章：日期：      年    月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行12列2,手填·日期,建设单位签章：日期：      年    月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行13列2,手填·日期,使用单位签章：日期：      年    月   日,@manualDate,高,实况核对
七、竣工验收分册（政务信息化项目）,11、竣工验收意见审核表.docx,表1行14列2,手填·日期,政务信息化项目竣工验收专用章年   月   日,@manualDate,高,实况核对
八、封面页,1、验收资料封面.docx,段3,前缀插入,项目,projectName,中,实况核对
